blind_id,replicate_index,status,failure_cause,spin_map,spin_mean,ci68_lower,ci68_upper,ci95_lower,ci95_upper,chi2_per_dof,runtime_s,noise_seed
blind_eabbf106a340,3,COMPLETED,,-0.5331944958467089,-0.5200673377275014,-0.5439058457712233,-0.5004435157986038,-0.5683968275012042,-0.48523029686763974,0.9278543728741945,1.2541746999995667,1326138338
blind_eabbf106a340,4,COMPLETED,,-0.5176384779555424,-0.5302277700448944,-0.5501333562486532,-0.5128598501330572,-0.5977202000409731,-0.505243154494169,1.4753436013200627,1.2609139999985928,3762328483
blind_eabbf106a340,5,COMPLETED,,-0.5098344300081403,-0.5074288753435396,-0.5179926731697194,-0.4961417715124667,-0.5326660339970104,-0.4830601342445324,0.8286449200546744,1.2881209999977727,2338876347
blind_eabbf106a340,6,COMPLETED,,-0.5114239801831315,-0.5119114759778308,-0.5265064481950068,-0.4984290810868229,-0.559159078599969,-0.48591605261777027,0.8738283043512571,1.2869089000014355,1009645991
blind_eabbf106a340,7,COMPLETED,,-0.5175979270661292,-0.5140526945701338,-0.5218276895462893,-0.5051973318879959,-0.536056656543813,-0.49361802643317365,1.1753285478137707,1.2600700999973924,725950548
blind_eabbf106a340,8,COMPLETED,,-0.5165530306792017,-0.5199923037312089,-0.5317463987741848,-0.5096073446168666,-0.5518146694877375,-0.5004401213782337,1.5244200706292945,1.2709073000005446,272133356
blind_eabbf106a340,9,COMPLETED,,-0.5207718654262175,-0.5305198907221629,-0.5469392445680444,-0.5155470752883377,-0.593747690244026,-0.5091135045238689,2.143826340715849,1.279503499994462,1902770204
blind_eabbf106a340,10,COMPLETED,,-0.5169824201472504,-0.5173519104570579,-0.5266572711122075,-0.5077031323714064,-0.5514058151908201,-0.49689464935943095,0.8829164663329901,1.2700965000040014,1574785982
blind_eabbf106a340,11,COMPLETED,,-0.5917383948939339,-0.5924481854668834,-0.6152535015933597,-0.5714788805555756,-0.6459254469471443,-0.5297798109081817,1.1584514469901874,1.2766670000055456,4095631602
blind_eabbf106a340,12,COMPLETED,,-0.5088451523089903,-0.5079183876766615,-0.5191472776004424,-0.49735543340294003,-0.5425465421371313,-0.48281179578872035,1.0176399836394832,1.2763563999978942,1165187535
blind_eabbf106a340,13,COMPLETED,,-0.5097852908295858,-0.5066182301051272,-0.5121658017213251,-0.5008900361390469,-0.5178286645037197,-0.49326304857557124,1.5112145877754253,1.267302699998254,1631840138
blind_eabbf106a340,14,COMPLETED,,-0.5168845080388795,-0.5194769709098107,-0.5281798024028157,-0.508959013645588,-0.5717537165636841,-0.5002770294104673,1.1316454840363803,1.274152400001185,4095101582
blind_eabbf106a340,15,COMPLETED,,-0.5215281504331108,-0.5209849085360666,-0.5273565455993219,-0.5142166220059814,-0.5390379651321362,-0.5075807032765023,0.7590212193927034,1.280136000001221,329108147
