a_star,radius_rg,zero_torque_flux,stressed_flux_delta_eta_0p02
-0.5,13.335346208164609,6.354315858353938e-07,1.2004915809325284e-06
-0.5,13.441012514911144,6.322622064370746e-07,1.1804660489393282e-06
-0.5,13.54751609788637,6.28904455851141e-07,1.1607704759739127e-06
-0.5,13.654863591480233,6.253674274724808e-07,1.1413973641214636e-06
-0.5,13.763061682652102,6.216599940298716e-07,1.1223395541830832e-06
-0.5,13.872117111347332,6.177908066261714e-07,1.1035902045885618e-06
-0.5,13.982036670917068,6.137682943278509e-07,1.0851427716413874e-06
-0.5,14.092827208541502,6.096006642549939e-07,1.0669909910138288e-06
-0.5,14.204495625656302,6.052959021263545e-07,1.0491288604150177e-06
-0.5,14.317048878382622,6.008617732172894e-07,1.0315506233595559e-06
-0.5,14.43049397796032,5.963058236913213e-07,1.0142507539686243e-06
-0.5,14.544837991184783,5.916353822693661e-07,9.972239427400592e-07
-0.5,14.660088040847103,5.868575622027018e-07,9.804650832272651e-07
-0.5,14.776251306177773,5.819792635186934e-07,9.639692595708993e-07
-0.5,14.89333502329391,5.770071755104655e-07,9.4773173483061e-07
-0.5,15.011346485650003,5.719477794435782e-07,9.317479400670435e-07
-0.5,15.130293044492252,5.668073514553936e-07,9.160134641279953e-07
-0.5,15.250182109316489,5.615919656238857e-07,9.005240440946209e-07
-0.5,15.371021148329737,5.563074971850551e-07,8.852755563469615e-07
-0.5,15.492817688915423,5.509596258793444e-07,8.702640082101545e-07
-0.5,15.61557931810229,5.455538394090665e-07,8.554855301451503e-07
-0.5,15.73931368303697,5.400954369902648e-07,8.409363684499795e-07
-0.5,15.864028491460436,5.34589532983803e-07,8.266128784397217e-07
-0.5,15.98973151218802,5.290410605913973e-07,8.125115180750169e-07
-0.5,16.11643057559345,5.234547756039984e-07,7.986288420112827e-07
-0.5,16.244133574096576,5.178352601902846e-07,7.849614960418676e-07
-0.5,16.37284846265502,5.121869267145421e-07,7.715062119104776e-07
-0.5,16.502583259259715,5.065140215740552e-07,7.582598024696674e-07
-0.5,16.63334604543437,5.008206290465893e-07,7.452191571632167e-07
-0.5,16.76514496673887,4.951106751398251e-07,7.323812378120297e-07
-0.5,16.897988233276706,4.893879314351123e-07,7.197430746842194e-07
-0.5,17.031884120206403,4.83656018918497e-07,7.073017628311205e-07
-0.5,17.166840968256984,4.779184117928505e-07,6.950544586723215e-07
-0.5,17.302867184247564,4.721784412653446e-07,6.829983768136628e-07
-0.5,17.439971241610976,4.6643929930504143e-07,6.71130787083114e-07
-0.5,17.578161680921706,4.6070404236610907e-07,6.594490117705771e-07
-0.5,17.717447110427777,4.549755950723384e-07,6.479504230582422e-07
-0.5,17.857836206587116,4.4925675385924416e-07,6.366324406290717e-07
-0.5,17.999337714607904,4.435501905705086e-07,6.254925294418535e-07
-0.5,18.141960448993444,4.3785845600567744e-07,6.145281976617251e-07
-0.5,18.28571329409117,4.3218398341660383e-07,6.037369947360089e-07
-0.5,18.430605204646117,4.265290919502308e-07,5.931165096055815e-07
-0.5,18.576645206358716,4.2089599003592074e-07,5.826643690429318e-07
-0.5,18.723842396447026,4.152867787153432e-07,5.723782361081434e-07
-0.5,18.872205944213444,4.0970345491371557e-07,5.622558087150859e-07
-0.5,19.021745091615866,4.0414791465098837e-07,5.52294818300172e-07
-0.5,19.172469153843398,3.9862195619207034e-07,5.424930285867729e-07
-0.5,19.32438751989663,3.9312728313525424e-07,5.328482344386976e-07
-0.5,19.4775096531725,3.8766550743815446e-07,5.233582607965203e-07
-0.5,19.63184509205376,3.8223815238082065e-07,5.140209616911053e-07
-0.5,19.787403450503234,3.768466554655971e-07,5.048342193287956e-07
-0.5,19.94419441866259,3.714923712536468e-07,4.957959432432868e-07
-0.5,20.102227763456046,3.6617657413807783e-07,4.869040695094034e-07
-0.5,20.26151332919873,3.609004610537488e-07,4.781565600143333e-07
-0.5,20.42206103820994,3.5566515412397064e-07,4.6955140178218074e-07
-0.5,20.583880891431203,3.504717032443931e-07,4.610866063479422e-07
-0.5,20.74698296904929,3.453210886044241e-07,4.5276020917723053e-07
-0.5,20.91137743112411,3.402142231466924e-07,4.4457026912838816e-07
-0.5,21.07707451822162,3.35151954965081e-07,4.3651486795379474e-07
-0.5,21.24408455205175,3.301350696418745e-07,4.285921098373365e-07
-0.5,21.41241793611133,3.251642925247881e-07,4.2080012096535855e-07
-0.5,21.582085156332194,3.2024029094448976e-07,4.1313704912840167e-07
-0.5,21.75309678173436,3.153636763734302e-07,4.0560106335135077e-07
-0.5,21.92546346508441,3.1053500652679945e-07,3.9819035354974636e-07
-0.5,22.099195943559018,3.057547874064014e-07,3.9090313021009965e-07
-0.5,22.27430503941394,3.010234752883501e-07,3.8373762409227183e-07
-0.5,22.45080166065798,2.963414786554958e-07,3.766920859520951e-07
-0.5,22.62869680173263,2.917091600754502e-07,3.6976478628246616e-07
-0.5,22.808001544196856,2.871268380252893e-07,3.6295401507145994e-07
-0.5,22.988727057417428,2.825947886636824e-07,3.562580815757689e-07
-0.5,23.17088459926469,2.781132475516466e-07,3.4967531410831607e-07
-0.5,23.354485516813828,2.7368241132276017e-07,3.4320405983861117e-07
-0.5,23.539541247051734,2.693024393039037e-07,3.368426846047373e-07
-0.5,23.726063317589414,2.649734550874789e-07,3.3058957273581697e-07
-0.5,23.914063347380118,2.606955480561726e-07,3.2444312688399897e-07
